Ref,Val,Package,PosX,PosY,Rot,Side
"BOOTSEL1","TL1016AAF220QG","TL1016AAF220QG",77.248977,-460.233829,165.000000,bottom
"C2","0.1uF","C_0402_1005Metric",114.630000,-468.230000,270.000000,bottom
"C3","1uF","C_0402_1005Metric",106.415000,-462.550000,180.000000,bottom
"C4","27pF","C_0402_1005Metric",121.150000,-460.250000,0.000000,bottom
"C5","27pF","C_0402_1005Metric",121.150000,-461.250000,0.000000,bottom
"C6","0.1uF","C_0402_1005Metric",108.650000,-456.315000,90.000000,bottom
"C7","0.1uF","C_0402_1005Metric",106.445000,-466.070000,180.000000,bottom
"C9","10uF","C_0402_1005Metric",105.525000,-439.775000,180.000000,bottom
"C10","0.1uF","C_0402_1005Metric",98.540000,-463.860000,180.000000,bottom
"C11","10uF","C_0402_1005Metric",99.650000,-443.375000,90.000000,bottom
"C12","1uF","C_0402_1005Metric",106.450000,-465.050000,180.000000,bottom
"C13","0.1uF","C_0402_1005Metric",119.185000,-463.775000,0.000000,bottom
"C14","0.1uF","C_0402_1005Metric",106.415000,-461.550000,180.000000,bottom
"C15","0.1uF","C_0402_1005Metric",119.200000,-462.250000,0.000000,bottom
"C16","0.1uF","C_0402_1005Metric",114.400000,-455.415000,90.000000,bottom
"C17","0.1uF","C_0402_1005Metric",109.400000,-468.135000,270.000000,bottom
"F1","Polyfuse","Fuse_1206_3216Metric",110.800000,-407.000000,180.000000,bottom
"IC1","RP2040","QFN40P700X700X90-57N-D",112.800000,-462.050000,270.000000,bottom
"IC2","W25Q128JVSIM","SOIC127P790X216-8N",100.950000,-458.410000,270.000000,bottom
"J32","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",115.920000,-393.440000,0.000000,bottom
"R1","27.4","R_0402_1005Metric",108.851000,-446.427000,90.000000,bottom
"R2","27.4","R_0402_1005Metric",109.901000,-446.427000,90.000000,bottom
"R3","10k","R_0402_1005Metric",97.300000,-455.265000,90.000000,bottom
"R4","5.1K","R_0402_1005Metric",118.900000,-468.300000,0.000000,bottom
"R6","1k","R_0402_1005Metric",119.200000,-461.250000,0.000000,bottom
"R7","DNF","R_0402_1005Metric",106.425000,-467.090000,0.000000,bottom
"R8","5.1k","R_0402_1005Metric",123.300000,-392.700000,0.000000,bottom
"R9","5.1k","R_0402_1005Metric",123.300000,-393.800000,180.000000,bottom
"R17","5.1K","R_0402_1005Metric",118.885000,-466.800000,180.000000,bottom
"RUN1","TL1016AAF220QG","TL1016AAF220QG",84.151023,-462.066171,165.000000,bottom
"U1","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",104.050000,-444.975000,270.000000,bottom
"Y1","ABLS-12.000MHZ-B4-T","HC%2f49US-(AT49)_1",124.750000,-462.450000,90.000000,bottom
